imagen,rotacion,traslacion
0000.jpg,"[[ 0.78828194  0.18198923  0.58778525  0.        ]
 [-0.28358433  0.95521131  0.0845653   0.        ]
 [-0.54606914 -0.23334799  0.80458511  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -585]
 [   0    1    0  107]
 [   0    0    1 2768]
 [   0    0    0    1]]"
0001.jpg,"[[ 0.53636474  0.82592928  0.17364818  0.        ]
 [-0.52615461  0.48809647 -0.69636424  0.        ]
 [-0.65990468  0.28213944  0.69636424  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -242]
 [   0    1    0 -342]
 [   0    0    1 2709]
 [   0    0    0    1]]"
0002.jpg,"[[ 0.96577871 -0.25877963  0.01745241  0.        ]
 [ 0.22523507  0.87014851  0.43830438  0.        ]
 [-0.12861043 -0.41937415  0.89865716  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  253]
 [   0    1    0 -478]
 [   0    0    1 4116]
 [   0    0    0    1]]"
0003.jpg,"[[ 0.90342019  0.20857099 -0.37460659  0.        ]
 [ 0.05488557  0.81025942  0.58349571  0.        ]
 [ 0.4252288  -0.5477023   0.72055719  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -663]
 [   0    1    0 -494]
 [   0    0    1 3913]
 [   0    0    0    1]]"
0004.jpg,"[[ 0.89253894  0.41619774  0.17364818  0.        ]
 [-0.26872292  0.80006303 -0.53636474  0.        ]
 [-0.36216328  0.43206317  0.82592928  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  657]
 [   0    1    0 -282]
 [   0    0    1 4330]
 [   0    0    0    1]]"
0005.jpg,"[[ 0.59350185 -0.44723572 -0.66913061  0.        ]
 [ 0.77210304  0.08170944  0.63022255  0.        ]
 [-0.22718375 -0.89067602  0.39380676  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   -3]
 [   0    1    0 -131]
 [   0    0    1 3371]
 [   0    0    0    1]]"
0006.jpg,"[[ 4.08309946e-01 -4.22817326e-01  8.09016994e-01  0.00000000e+00]
 [ 8.92892354e-01  7.12007088e-04 -4.50269626e-01  0.00000000e+00]
 [ 1.89805774e-01  9.06214656e-01  3.77821077e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]","[[   1    0    0 -877]
 [   0    1    0  522]
 [   0    0    1 4834]
 [   0    0    0    1]]"
0007.jpg,"[[ 0.61132734  0.1986323   0.76604444  0.        ]
 [-0.57862969  0.77255036  0.26144527  0.        ]
 [-0.53987643 -0.6030847   0.5872157   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  441]
 [   0    1    0   66]
 [   0    0    1 4919]
 [   0    0    0    1]]"
0008.jpg,"[[ 0.65561799  0.65561799 -0.37460659  0.        ]
 [-0.65036712  0.74236136  0.16100379  0.        ]
 [ 0.38365044  0.13807483  0.91309785  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -936]
 [   0    1    0  372]
 [   0    0    1 3800]
 [   0    0    0    1]]"
0009.jpg,"[[ 0.76533937  0.13494998  0.62932039  0.        ]
 [-0.40200336  0.86382109  0.30365512  0.        ]
 [-0.50264197 -0.48538813  0.71536663  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -359]
 [   0    1    0  -14]
 [   0    0    1 4276]
 [   0    0    0    1]]"
0010.jpg,"[[ 0.51472433 -0.01797457  0.8571673   0.        ]
 [ 0.26967095  0.95243051 -0.14196373  0.        ]
 [-0.81384055  0.30422531  0.49508637  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -846]
 [   0    1    0  561]
 [   0    0    1 4548]
 [   0    0    0    1]]"
0011.jpg,"[[ 0.81379768  0.29619813  0.5         0.        ]
 [-0.52692357  0.73896636  0.41985745  0.        ]
 [-0.24512219 -0.6051408   0.75744289  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -397]
 [   0    1    0  432]
 [   0    0    1 3491]
 [   0    0    0    1]]"
0012.jpg,"[[ 0.79690454 -0.29004953  0.52991926  0.        ]
 [ 0.58208593  0.60334552 -0.54511481  0.        ]
 [-0.16161412  0.74286301  0.64964253  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  -54]
 [   0    1    0  529]
 [   0    0    1 2126]
 [   0    0    0    1]]"
0013.jpg,"[[ 0.58523481  0.32440096  0.74314483  0.        ]
 [-0.64518468  0.74143076  0.18443739  0.        ]
 [-0.49115877 -0.58740484  0.64320962  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  254]
 [   0    1    0    2]
 [   0    0    1 2871]
 [   0    0    0    1]]"
0014.jpg,"[[ 0.77837848 -0.44939702 -0.43837115  0.        ]
 [ 0.4344553   0.88965137 -0.14060237  0.        ]
 [ 0.45318378 -0.08101081  0.8877284   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -136]
 [   0    1    0  -50]
 [   0    0    1 2012]
 [   0    0    0    1]]"
0015.jpg,"[[ 0.97278921  0.10224427 -0.20791169  0.        ]
 [-0.09724852  0.99467452  0.03413686  0.        ]
 [ 0.21029476 -0.01298886  0.97755174  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  893]
 [   0    1    0 -275]
 [   0    0    1 2061]
 [   0    0    0    1]]"
0016.jpg,"[[ 0.71397795  0.08766547 -0.69465837  0.        ]
 [ 0.49488797  0.6386485   0.58924867  0.        ]
 [ 0.49529929 -0.76448863  0.41259636  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   41]
 [   0    1    0  130]
 [   0    0    1 3560]
 [   0    0    0    1]]"
0017.jpg,"[[ 0.81715663 -0.57217923  0.06975647  0.        ]
 [ 0.38051707  0.62637709  0.68033705  0.        ]
 [-0.43296859 -0.5293984   0.72957216  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -515]
 [   0    1    0  157]
 [   0    0    1 3951]
 [   0    0    0    1]]"
0018.jpg,"[[ 0.68399917  0.31895405 -0.65605903  0.        ]
 [-0.63430741  0.7042176  -0.31895405  0.        ]
 [ 0.36027663  0.63430741  0.68399917  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -533]
 [   0    1    0  155]
 [   0    0    1 4351]
 [   0    0    0    1]]"
0019.jpg,"[[ 0.44062224 -0.32013079 -0.83867057  0.        ]
 [ 0.37799585  0.91355474 -0.15012286  0.        ]
 [ 0.81423042 -0.25086652  0.52354064  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -376]
 [   0    1    0 -337]
 [   0    0    1 2032]
 [   0    0    0    1]]"
0020.jpg,"[[ 0.85536319 -0.13547622 -0.5         0.        ]
 [ 0.49426058  0.50244295  0.70940648  0.        ]
 [ 0.15511377 -0.85393048  0.49673176  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  706]
 [   0    1    0 -367]
 [   0    0    1 3531]
 [   0    0    0    1]]"
0021.jpg,"[[ 0.39454206 -0.65662825 -0.64278761  0.        ]
 [ 0.71291135  0.66009143 -0.23672075  0.        ]
 [ 0.57973612 -0.36485429  0.72855156  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -768]
 [   0    1    0 -238]
 [   0    0    1 2006]
 [   0    0    0    1]]"
0022.jpg,"[[ 0.65176944 -0.52779249 -0.54463904  0.        ]
 [ 0.27273481  0.83319543 -0.48104168  0.        ]
 [ 0.70768094  0.16498624  0.68699871  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -360]
 [   0    1    0  142]
 [   0    0    1 3818]
 [   0    0    0    1]]"
0023.jpg,"[[ 0.61470085 -0.18793291 -0.76604444  0.        ]
 [ 0.6194873   0.71619935  0.3213938   0.        ]
 [ 0.48824006 -0.67211584  0.5566704   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -132]
 [   0    1    0  204]
 [   0    0    1 3584]
 [   0    0    0    1]]"
0024.jpg,"[[ 0.61556823  0.76016346  0.20791169  0.        ]
 [-0.78559241  0.61284321  0.08525118  0.        ]
 [-0.06261244 -0.21581176  0.97442545  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -792]
 [   0    1    0  624]
 [   0    0    1 4839]
 [   0    0    0    1]]"
0025.jpg,"[[ 0.90692266 -0.36642054  0.20791169  0.        ]
 [ 0.32634091  0.92311588  0.20336832  0.        ]
 [-0.26644491 -0.11658925  0.95677273  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  380]
 [   0    1    0  211]
 [   0    0    1 2787]
 [   0    0    0    1]]"
