imagen,rotacion,traslacion
0000.jpg,"[[ 0.96765946]
 [-0.13349856]
 [ 0.12028931]]","[[ 491.42951871]
 [ 227.92164519]
 [5486.37376736]]"
0001.jpg,"[[0.57102237]
 [0.19254184]
 [0.73562235]]","[[-621.98546156]
 [ 253.1276568 ]
 [2110.31132496]]"
0002.jpg,"[[ 0.15347767]
 [ 0.71977442]
 [-0.38707927]]","[[ 867.51412219]
 [ 695.73807339]
 [4454.6729155 ]]"
0003.jpg,"[[0.64174299]
 [0.44184051]
 [0.0295522 ]]","[[ -11.83253322]
 [ -58.4801819 ]
 [2810.32438086]]"
0004.jpg,"[[-0.84568384]
 [ 0.19989233]
 [-0.62761509]]","[[-391.37814065]
 [ 635.45533391]
 [3776.24147358]]"
0005.jpg,"[[0.11963346]
 [0.58310251]
 [0.74612916]]","[[-192.40827309]
 [ 243.00182646]
 [4425.10906341]]"
0006.jpg,"[[ 0.27440837]
 [-0.85599333]
 [-0.17957459]]","[[-111.51405141]
 [ 328.46577247]
 [4236.0479333 ]]"
0007.jpg,"[[ 0.50219775]
 [ 0.55135235]
 [-0.29609797]]","[[1034.80691989]
 [ 312.11699002]
 [4000.27793213]]"
0008.jpg,"[[-0.06441125]
 [ 0.97637635]
 [-0.18866157]]","[[-610.83734458]
 [-256.18731116]
 [3548.30880115]]"
0009.jpg,"[[-0.09558045]
 [ 0.42867818]
 [-0.47550627]]","[[-1052.95530572]
 [  779.61370673]
 [ 3814.80347061]]"
0010.jpg,"[[-0.0022858 ]
 [ 0.87862047]
 [ 0.37266165]]","[[ 542.63502044]
 [-403.79059159]
 [4591.87699713]]"
0011.jpg,"[[-0.26235739]
 [ 0.68421971]
 [-0.82273928]]","[[  20.71013056]
 [-255.85955569]
 [2364.83913028]]"
0012.jpg,"[[-0.61326971]
 [ 0.59233544]
 [ 0.61043183]]","[[ 516.29365282]
 [ 559.19592656]
 [2519.38950766]]"
0013.jpg,"[[-0.01160412]
 [-1.08827048]
 [-0.18503968]]","[[-714.04854262]
 [  90.92439962]
 [3156.76866141]]"
0014.jpg,"[[-0.43475806]
 [ 1.00649865]
 [-0.23781505]]","[[ 778.36254752]
 [  91.30295196]
 [4364.43126816]]"
0015.jpg,"[[-0.86009711]
 [ 0.06378388]
 [-0.70590768]]","[[-235.84305136]
 [ 313.6780452 ]
 [2772.503268  ]]"
0016.jpg,"[[-0.33267759]
 [-0.63329777]
 [ 0.8394517 ]]","[[ 564.24429513]
 [-473.44733487]
 [4908.26759034]]"
0017.jpg,"[[ 0.66158143]
 [-0.02712281]
 [ 0.90953002]]","[[-116.40975518]
 [ 128.05810607]
 [4311.68192596]]"
0018.jpg,"[[ 0.47855152]
 [-0.40563634]
 [ 0.8617255 ]]","[[-669.93358525]
 [ -79.28197104]
 [3336.81664313]]"
0019.jpg,"[[-0.92231783]
 [ 0.22614923]
 [ 0.55601719]]","[[-1008.45779215]
 [  152.48549433]
 [ 4619.17846743]]"
0020.jpg,"[[-0.77882104]
 [-0.46970376]
 [ 0.39273837]]","[[ 559.8057584 ]
 [ -34.72149084]
 [3250.73400192]]"
